0N,1N,2N,3N,4N,0C,1C,2C,3C,4C
4.542470667,0.644395064,0.750505412,0.941922545,1.115657858,4.549538993,0.648642108,0.750621129,0.941972819,1.115657858
4.542470667,1.308504191,2.108869956,3.0169808,3.653279733,4.557472964,1.323462148,2.119748049,3.02737992,3.653279733
4.542470667,0.837118049,1.206735365,1.271176801,1.194,4.566198667,0.840614157,1.207089797,1.271191967,1.194
4.542470667,2.704575178,4.611648207,4.970704033,5.139266667,4.919928,2.835679428,4.651434503,4.971247272,5.139266667
4.542470667,0.384095669,0.177406955,0.144069265,0.160838362,4.543119029,0.384613534,0.177815283,0.144440506,0.160838362
